Service Name,Physical Address,Suburb,Physical State,Postal Code,2018 Aged Care Planning Region (ACPR) Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2016 LGA Name,2016 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude,2023/24 FY Australian Government Funding,Overall Star Rating,Residents' Experience rating,Compliance rating,Staffing rating,Quality Measures rating
Warrina Court Residential Aged Care Service,"46 McShane STREET, CAMPBELLTOWN, SA, 5074",CAMPBELLTOWN,SA,5074,403,Metropolitan East,Residential,35,0,0,Warrina Homes Inc,Community Based,Major Cities of Australia,1,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (C) (SA),40910,PHN401,Adelaide,-34.877114,138.656899,3912165.04,4.0,3.0,4.0,5.0,5.0
Melaleuca Court Nursing Home,"69 Main STREET, MINLATON, SA, 5575",MINLATON,SA,5575,411,"Yorke, Lower North & Barossa",Residential,35,0,0,Yorke and Northern Local Health Network Incorporated,State Government,Outer Regional Australia,5,41127,Yorke Peninsula - North,40504,Yorke Peninsula,Yorke Peninsula (DC),48830,PHN402,Country SA,-34.77140886,137.59551978,3339759.62,4.0,4.0,5.0,3.0,4.0
UnitingSA Seaton Aged Care,"172 Trimmer PARADE, SEATON, SA, 5023",SEATON,SA,5023,406,Metropolitan West,Residential,35,0,0,UnitingSA Ltd,Religious,Major Cities of Australia,1,41095,Seaton - Grange,40401,Charles Sturt,Charles Sturt (C),41060,PHN401,Adelaide,-34.89134321,138.51030748,4341461.59,4.0,4.0,4.0,4.0,5.0
Bolton Clarke Hillside,"177 Longwood ROAD, HEATHFIELD, SA, 5153",HEATHFIELD,SA,5153,402,"Hills, Mallee & Southern",Residential,36,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,41004,Aldgate - Stirling,40102,Adelaide Hills,Adelaide Hills (DC),40120,PHN402,Country SA,-35.02494815,138.7201246,3634224.88,4.0,3.0,4.0,4.0,5.0
Estia Health Toorak Gardens,"401 Portrush ROAD, TOORAK GARDENS, SA, 5065",TOORAK GARDENS,SA,5065,403,Metropolitan East,Residential,36,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41013,Toorak Gardens,40103,Burnside,Burnside (C),40700,PHN401,Adelaide,-34.93812357,138.6418373,3986246.37,4.0,3.0,5.0,3.0,5.0
ACH Group Residential Care - Colton Court,"84 VALLEY VIEW DRIVE, MCLAREN VALE, SA, 5171",MCLAREN VALE,SA,5171,405,Metropolitan South,Residential,37,0,0,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,41083,McLaren Vale,40304,Onkaparinga,Onkaparinga (C),45340,PHN401,Adelaide,-35.21821338,138.537962,4009018.45,4.0,5.0,5.0,5.0,1.0
Calvary Mitcham,"22 Harrow TERRACE, KINGSWOOD, SA, 5062",KINGSWOOD,SA,5062,405,Metropolitan South,Residential,38,0,0,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41069,Mitcham (SA),40303,Mitcham,Mitcham (C),44340,PHN401,Adelaide,-34.96834259,138.61512337,4368283.45,,,,,
Restvale Hostel,"8 Woodside ROAD, LOBETHAL, SA, 5241",LOBETHAL,SA,5241,402,"Hills, Mallee & Southern",Residential,38,0,0,Lobethal and District Aged Homes Inc,Community Based,Inner Regional Australia,5,41006,Lobethal - Woodside,40102,Adelaide Hills,Adelaide Hills (DC),40120,PHN402,Country SA,-34.90888275,138.87447,3686743.29,4.0,4.0,5.0,3.0,3.0
Kalyra McLaren Vale Aged Care,"19 Aldersey STREET, MCLAREN VALE, SA, 5171",MCLAREN VALE,SA,5171,405,Metropolitan South,Residential,39,0,0,James Brown Memorial Trust,Charitable,Major Cities of Australia,1,41083,McLaren Vale,40304,Onkaparinga,Onkaparinga (C),45340,PHN401,Adelaide,-35.2225777,138.54492132,4386370.56,5.0,5.0,5.0,3.0,5.0
Bene Aged Care - Campbelltown,"565 Lower North East ROAD, CAMPBELLTOWN, SA, 5074",CAMPBELLTOWN,SA,5074,403,Metropolitan East,Residential,39,0,0,Italian Benevolent Foundation SA Inc,Community Based,Major Cities of Australia,1,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (C) (SA),40910,PHN401,Adelaide,-34.8827641,138.66007826,4102517.06,4.0,3.0,5.0,4.0,3.0
Walara Balaklava Millcourt,"7 Railway TERRACE, BALAKLAVA, SA, 5461",BALAKLAVA,SA,5461,411,"Yorke, Lower North & Barossa",Residential,40,0,0,WALARA INCORPORATED,Community Based,Inner Regional Australia,5,41119,Wakefield - Barunga West,40502,Lower North,Wakefield (DC),48130,PHN402,Country SA,-34.14501718,138.41406306,4568975.24,4.0,3.0,4.0,4.0,5.0
John Paul II Village Residential Care,"6A Dianne STREET, KLEMZIG, SA, 5087",KLEMZIG,SA,5087,404,Metropolitan North,Residential,40,0,0,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,41038,Windsor Gardens,40203,Port Adelaide - East,Port Adelaide Enfield (C),45890,PHN401,Adelaide,-34.87729572,138.63553212,4205117.43,4.0,4.0,5.0,4.0,4.0
Amber Aged Care,"50 Avenue ROAD, PARADISE, SA, 5075",PARADISE,SA,5075,403,Metropolitan East,Residential,40,0,0,Amber Aged Care Inc,Community Based,Major Cities of Australia,1,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (C) (SA),40910,PHN401,Adelaide,-34.871124,138.678631,4768793.37,4.0,3.0,5.0,3.0,5.0
Estia Health Parkside,"17 Robsart STREET, PARKSIDE, SA, 5063",PARKSIDE,SA,5063,403,Metropolitan East,Residential,40,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41024,Unley - Parkside,40107,Unley,Unley (C),47980,PHN401,Adelaide,-34.94518079,138.61901088,3835845.79,4.0,4.0,5.0,4.0,3.0
Oakden Green,"75-79 Hilltop DRIVE, OAKDEN, SA, 5086",OAKDEN,SA,5086,404,Metropolitan North,Residential,40,0,0,Quality Care Homes Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41037,Northgate - Oakden - Gilles Plains,40203,Port Adelaide - East,Port Adelaide Enfield (C),45890,PHN401,Adelaide,-34.85179193,138.63893514,4666210.34,3.0,2.0,4.0,5.0,3.0
AnglicareSA Brompton,"2-10 1st STREET, BROMPTON, SA, 5007",BROMPTON,SA,5007,406,Metropolitan West,Residential,40,0,0,Anglicare SA Ltd,Religious,Major Cities of Australia,1,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt (C),41060,PHN401,Adelaide,-34.90402872,138.5733222,6536789.62,3.0,3.0,5.0,3.0,2.0
Belalie Lodge,"1-7 Cumnock STREET, JAMESTOWN, SA, 5491",JAMESTOWN,SA,5491,407,Mid North,Residential,41,0,0,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,5,41120,Jamestown,40503,Mid North,Northern Areas (DC),45120,PHN402,Country SA,-33.20388699,138.60276819,4137265.13,4.0,4.0,5.0,3.0,3.0
Labrina Village Residential Care,"63-71 Labrina AVENUE, PROSPECT, SA, 5082",PROSPECT,SA,5082,403,Metropolitan East,Residential,41,0,0,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,41021,Prospect,40106,Prospect - Walkerville,Prospect (C),46510,PHN401,Adelaide,-34.88815421,138.60094756,4288506.62,4.0,3.0,5.0,4.0,3.0
The Oaks Aged Care Facility,"209 Ruwoldt ROAD, YAHL, SA, 5291",YAHL,SA,5291,409,South East,Residential,42,0,0,Goel Nominees Pty Ltd,Private Incorporated Body,Outer Regional Australia,3,41150,Grant,40702,Limestone Coast,Grant (DC),42250,PHN402,Country SA,-37.85771482,140.84181448,3995706.94,3.0,3.0,4.0,3.0,3.0
The Willochra Home,"8 Allan STREET, CRYSTAL BROOK, SA, 5523",CRYSTAL BROOK,SA,5523,407,Mid North,Residential,42,0,0,The Synod of the Anglican Church of Australia in the Diocese of  Willochra Incorporated,Religious,Outer Regional Australia,5,41123,Port Pirie Region,40503,Mid North,Port Pirie City and Dists (M),46450,PHN402,Country SA,-33.3581855,138.20640095,4341823.73,4.0,4.0,5.0,3.0,3.0
Charla Lodge,"23 South TERRACE, BORDERTOWN, SA, 5268",BORDERTOWN,SA,5268,409,South East,Residential,43,0,0,Limestone Coast Local Health Network Incorporated,State Government,Outer Regional Australia,5,41157,Tatiara,40702,Limestone Coast,Tatiara (DC),47630,PHN402,Country SA,-36.31261698,140.76970866,3922989.83,5.0,5.0,5.0,5.0,4.0
Serene Residential Care Services,"1 Myzantha STREET, LOCKLEYS, SA, 5032",LOCKLEYS,SA,5032,406,Metropolitan West,Residential,43,0,0,Blu Dawn Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41106,Lockleys,40403,West Torrens,West Torrens (C),48410,PHN401,Adelaide,-34.92481005,138.5406081,4411345.69,4.0,3.0,4.0,4.0,3.0
Semaphore Residential Care Centre,"122 Esplanade SEMAPHORE, SA, 5019",SEMAPHORE,SA,5019,406,Metropolitan West,Residential,46,0,0,Rosha Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41099,Largs Bay - Semaphore,40402,Port Adelaide - West,Port Adelaide Enfield (C),45890,PHN401,Adelaide,-34.83329516,138.48278952,4283518.85,4.0,3.0,5.0,4.0,4.0
Edenfield Family Care - Nerrilda,"71 STOKES TERRACE, PORT AUGUSTA WEST, SA, 5700",PORT AUGUSTA WEST,SA,5700,410,Flinders & Far North,Residential,46,0,0,El-Jasbella Nerrilda Pty Ltd,Private Incorporated Body,Outer Regional Australia,4,41142,Port Augusta,40602,Outback - North and East,Port Augusta (C),46090,PHN402,Country SA,-32.48023266,137.75551725,4552362.61,4.0,3.0,4.0,3.0,5.0
Estia Health Strathalbyn,"7 Langhorne Creek ROAD, STRATHALBYN, SA, 5255",STRATHALBYN,SA,5255,402,"Hills, Mallee & Southern",Residential,47,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,4,41146,Strathalbyn,40701,Fleurieu - Kangaroo Island,Alexandrina (DC),40220,PHN402,Country SA,-35.26115682,138.90182452,5182371.79,4.0,4.0,5.0,3.0,3.0
Star Of The Sea Home For The Aged,"15 Elizabeth STREET, WALLAROO, SA, 5556",WALLAROO,SA,5556,411,"Yorke, Lower North & Barossa",Residential,49,0,0,The Catholic Diocese of Port Pirie Inc,Religious,Outer Regional Australia,5,41126,Wallaroo,40504,Yorke Peninsula,Copper Coast (DC),41560,PHN402,Country SA,-33.93158724,137.63041103,5091045.73,3.0,4.0,4.0,2.0,3.0
Calvary St Catherine's Retirement Community,"23 McGilton ROAD, BERRI, SA, 5343",BERRI,SA,5343,408,Riverland,Residential,50,0,0,Calvary Retirement Communities Limited,Religious,Outer Regional Australia,5,41160,Berri,40703,Murray and Mallee,Berri and Barmera (DC),40520,PHN402,Country SA,-34.282852,140.61055,6173859.87,4.0,3.0,5.0,3.0,4.0
Helping Hand Aged Care - Carinya,"17-19 Victoria ROAD, CLARE, SA, 5453",CLARE,SA,5453,411,"Yorke, Lower North & Barossa",Residential,50,0,0,Helping Hand Aged Care Inc,Charitable,Inner Regional Australia,5,41116,Clare,40502,Lower North,Clare and Gilbert Valleys (DC),41140,PHN402,Country SA,-33.83579324,138.61192638,4998358.2,3.0,3.0,5.0,2.0,3.0
Walara Hamley Bridge,"19 Albert STREET, HAMLEY BRIDGE, SA, 5401",HAMLEY BRIDGE,SA,5401,411,"Yorke, Lower North & Barossa",Residential,52,0,0,WALARA INCORPORATED,Community Based,Inner Regional Australia,5,41119,Wakefield - Barunga West,40502,Lower North,Wakefield (DC),48130,PHN402,Country SA,-34.35879,138.677017,5706843.44,4.0,4.0,4.0,2.0,4.0
Longridge Aged Care,"900 Attiwill STREET, NARACOORTE, SA, 5271",NARACOORTE,SA,5271,409,South East,Residential,52,0,0,Naracoorte Home for the Aged Inc,Community Based,Outer Regional Australia,4,41154,Naracoorte,40702,Limestone Coast,Naracoorte and Lucindale (DC),45090,PHN402,Country SA,-36.97065842,140.74806139,4759552.97,4.0,5.0,5.0,3.0,3.0
Warrina Park Residential Aged Care Service,"59 George STREET, PARADISE, SA, 5075",PARADISE,SA,5075,403,Metropolitan East,Residential,52,0,0,Warrina Homes Inc,Community Based,Major Cities of Australia,1,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (C) (SA),40910,PHN401,Adelaide,-34.8687521,138.6805709,4698813.41,3.0,3.0,4.0,3.0,1.0
Bene Aged Care - St Clair,"2 Jelley STREET, WOODVILLE, SA, 5011",WOODVILLE,SA,5011,406,Metropolitan West,Residential,52,0,0,Italian Benevolent Foundation SA Inc,Community Based,Major Cities of Australia,1,41097,Woodville - Cheltenham,40401,Charles Sturt,Charles Sturt (C),41060,PHN401,Adelaide,-34.8741049,138.54590099,5610354.43,4.0,5.0,4.0,3.0,4.0
Eldercare Sash Ferguson,"8 Fletcher ROAD, MOUNT BARKER, SA, 5251",MOUNT BARKER,SA,5251,402,"Hills, Mallee & Southern",Residential,53,0,0,Eldercare Australia Ltd,Charitable,Inner Regional Australia,3,41007,Mount Barker,40102,Adelaide Hills,Mount Barker (DC),44550,PHN402,Country SA,-35.07431829,138.864889,5666452.02,5.0,5.0,5.0,3.0,5.0
Wheatfields Incorporated,"8 Cherry STREET, FREELING, SA, 5372",FREELING,SA,5372,411,"Yorke, Lower North & Barossa",Residential,53,0,0,Wheatfields Incorporated,Community Based,Inner Regional Australia,3,41111,Light,40501,Barossa,Light (RegC),43650,PHN402,Country SA,-34.4538385,138.81317362,5271313.22,4.0,4.0,4.0,4.0,5.0
The Churchill Retreat,"470 Churchill ROAD, KILBURN, SA, 5084",KILBURN,SA,5084,404,Metropolitan North,Residential,54,0,0,Hahndorf Holdings Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41036,Enfield - Blair Athol,40203,Port Adelaide - East,Port Adelaide Enfield (C),45890,PHN401,Adelaide,-34.85768804,138.58252272,6235421.97,3.0,3.0,5.0,2.0,3.0
Rose Court Aged Care Facility,"3 Grant AVENUE, GILLES PLAINS, SA, 5086",GILLES PLAINS,SA,5086,404,Metropolitan North,Residential,54,0,0,Hahndorf Holdings Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41037,Northgate - Oakden - Gilles Plains,40203,Port Adelaide - East,Port Adelaide Enfield (C),45890,PHN401,Adelaide,-34.85334686,138.66177374,5731499.68,4.0,4.0,5.0,2.0,4.0
St Louis Nursing Home,"21 Foster STREET, PARKSIDE, SA, 5063",PARKSIDE,SA,5063,403,Metropolitan East,Residential,55,0,0,St Louis Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41024,Unley - Parkside,40107,Unley,Unley (C),47980,PHN401,Adelaide,-34.95044347,138.61986775,4144740.91,4.0,3.0,5.0,4.0,5.0
Villa St Hilarion-Fulham,"21 FARNCOMB ROAD, FULHAM, SA, 5024",FULHAM,SA,5024,406,Metropolitan West,Residential,56,0,0,The Society of St Hilarion Inc,Religious,Major Cities of Australia,1,41105,Fulham,40403,West Torrens,West Torrens (C),48410,PHN401,Adelaide,-34.930071,138.513921,4843098.31,4.0,3.0,5.0,4.0,1.0
Copperhouse Court Hostel,"43 A Flinders AVENUE, WHYALLA STUART, SA, 5608",WHYALLA STUART,SA,5608,401,Eyre Peninsula,Residential,56,0,0,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,3,41136,Whyalla,40601,Eyre Peninsula and South West,Whyalla (C),48540,PHN402,Country SA,-33.02938574,137.52316062,6468082.6,3.0,3.0,4.0,3.0,4.0
Bolton Clarke Carinya,"39 Fisher STREET, MYRTLE BANK, SA, 5064",MYRTLE BANK,SA,5064,403,Metropolitan East,Residential,56,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,41024,Unley - Parkside,40107,Unley,Unley (C),47980,PHN401,Adelaide,-34.95715804,138.63113892,5060102.35,4.0,4.0,4.0,3.0,5.0
Dunbar Homes Salisbury,"11 Mawson ROAD, SALISBURY, SA, 5108",SALISBURY,SA,5108,404,Metropolitan North,Residential,57,0,0,Dunbar Homes Incorporated,Community Based,Major Cities of Australia,1,41046,Salisbury,40204,Salisbury,Salisbury (C),47140,PHN401,Adelaide,-34.76455709,138.64353219,5792255.39,4.0,3.0,5.0,4.0,4.0
Lourdes Valley The Lodge Residential Care,"18 Cross ROAD, MYRTLE BANK, SA, 5064",MYRTLE BANK,SA,5064,403,Metropolitan East,Residential,58,0,0,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,41024,Unley - Parkside,40107,Unley,Unley (C),47980,PHN401,Adelaide,-34.962735,138.639525,4657227.4,4.0,3.0,5.0,3.0,4.0
Loxton District Nursing Home,"Drabsch STREET, LOXTON, SA, 5333",LOXTON,SA,5333,408,Riverland,Residential,58,0,0,Riverland Mallee Coorong Local Health Network Incorporated,State Government,Outer Regional Australia,5,41162,Loxton,40703,Murray and Mallee,Loxton Waikerie (DC),43790,PHN402,Country SA,-34.4538099,140.5604795,6135914.03,4.0,4.0,4.0,3.0,3.0
Bupa Campbelltown,"1 Steele STREET, CAMPBELLTOWN, SA, 5074",CAMPBELLTOWN,SA,5074,403,Metropolitan East,Residential,59,0,0,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (C) (SA),40910,PHN401,Adelaide,-34.8816271,138.66336589,5297837.24,4.0,4.0,5.0,3.0,3.0
Edenfield Family Care,"20-36 Gardenia DRIVE, PARAFIELD GARDENS, SA, 5107",PARAFIELD GARDENS,SA,5107,404,Metropolitan North,Residential,59,0,0,El-Jasbella Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41043,Parafield Gardens,40204,Salisbury,Salisbury (C),47140,PHN401,Adelaide,-34.776452,138.615609,5399137.13,4.0,4.0,4.0,3.0,5.0
Yeltana Nursing Home,"25 Newton STREET, WHYALLA, SA, 5600",WHYALLA,SA,5600,401,Eyre Peninsula,Residential,59,0,0,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,3,41136,Whyalla,40601,Eyre Peninsula and South West,Whyalla (C),48540,PHN402,Country SA,-33.04223266,137.57125548,7078211.7,3.0,3.0,4.0,3.0,3.0
Riverview Lutheran Rest Home,"5 Luther ROAD, LOXTON, SA, 5333",LOXTON,SA,5333,408,Riverland,Residential,60,0,0,Riverview Lutheran Rest Home Inc,Religious,Outer Regional Australia,5,41162,Loxton,40703,Murray and Mallee,Loxton Waikerie (DC),43790,PHN402,Country SA,-34.44547988,140.57657064,6329969.65,4.0,3.0,5.0,3.0,3.0
Fullarton Residential Care,"345 Fullarton ROAD, FULLARTON, SA, 5063",FULLARTON,SA,5063,403,Metropolitan East,Residential,60,0,0,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,41024,Unley - Parkside,40107,Unley,Unley (C),47980,PHN401,Adelaide,-34.9528226,138.62510713,5421328.68,4.0,3.0,5.0,3.0,5.0
Eldercare The Village,"6-10 Centenary AVENUE, MAITLAND, SA, 5573",MAITLAND,SA,5573,411,"Yorke, Lower North & Barossa",Residential,60,0,0,Eldercare Australia Ltd,Charitable,Outer Regional Australia,5,41127,Yorke Peninsula - North,40504,Yorke Peninsula,Yorke Peninsula (DC),48830,PHN402,Country SA,-34.36880323,137.67525514,6563157.93,3.0,3.0,5.0,2.0,3.0
Clayton Church Homes - Summerhill,"1144 Greenhill ROAD, URAIDLA, SA, 5142",URAIDLA,SA,5142,402,"Hills, Mallee & Southern",Residential,60,0,0,Clayton Church Homes Inc,Religious,Major Cities of Australia,1,41010,Uraidla - Summertown,40102,Adelaide Hills,Adelaide Hills (DC),40120,PHN402,Country SA,-34.95990713,138.73938772,613884.18,,,,,
Aminya Village Hostel,"14 Adelaide ROAD, MANNUM, SA, 5238",MANNUM,SA,5238,408,Riverland,Residential,60,0,0,Mid Murray Homes for the Aged Inc,Community Based,Inner Regional Australia,5,41164,Mannum,40703,Murray and Mallee,Mid Murray (DC),44210,PHN402,Country SA,-34.915765,139.30744,6582952.01,3.0,3.0,4.0,3.0,3.0
St Anna's Residential Care Facility,"41 Burley Griffin BOULEVARD, BROMPTON, SA, 5007",BROMPTON,SA,5007,406,Metropolitan West,Residential,60,0,0,Croatian Ukrainian and Belarusian Aged Care Association of SA Incorporated,Community Based,Major Cities of Australia,1,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt (C),41060,PHN401,Adelaide,-34.898544,138.57112485,6362146.87,4.0,3.0,5.0,4.0,5.0
Pennwood Village,"19 Windsor AVENUE, PENNINGTON, SA, 5013",PENNINGTON,SA,5013,406,Metropolitan West,Residential,60,0,0,Serbian Community Welfare Association of SA Inc,Community Based,Major Cities of Australia,1,41097,Woodville - Cheltenham,40401,Charles Sturt,Charles Sturt (C),41060,PHN401,Adelaide,-34.85834545,138.53640772,6582360.19,5.0,4.0,5.0,5.0,4.0
Clayton Church Homes Park Village,"30 Shillabeer ROAD, ELIZABETH PARK, SA, 5113",ELIZABETH PARK,SA,5113,404,Metropolitan North,Residential,60,0,0,Clayton Church Homes Inc,Religious,Major Cities of Australia,1,41031,Elizabeth East,40202,Playford,Playford (C),45680,PHN401,Adelaide,-34.7161872,138.68388445,6660471.22,,,,,
Sheoak Lodge,"Towers ROAD, MILLICENT, SA, 5280",MILLICENT,SA,5280,409,South East,Residential,60,0,0,Limestone Coast Local Health Network Incorporated,State Government,Outer Regional Australia,5,41152,Millicent,40702,Limestone Coast,Wattle Range (DC),48340,PHN402,Country SA,-37.597711,140.360032,6166221.91,4.0,5.0,4.0,3.0,5.0
Para Hills Residential Care,"50 Kesters ROAD, PARA HILLS, SA, 5096",PARA HILLS,SA,5096,404,Metropolitan North,Residential,60,0,0,L P Rositano & M Rositano & R M Rositano and S P Rositano,Private Incorporated Body,Major Cities of Australia,1,41041,Para Hills,40204,Salisbury,Salisbury (C),47140,PHN401,Adelaide,-34.802724,138.64379,6164253.25,3.0,3.0,4.0,3.0,3.0
ACH Group Residential Care - West Park,"7 PARTRIDGE STREET, GOOLWA, SA, 5214",GOOLWA,SA,5214,402,"Hills, Mallee & Southern",Residential,60,0,0,Aged Care & Housing Group Inc,Charitable,Inner Regional Australia,3,41144,Goolwa - Port Elliot,40701,Fleurieu - Kangaroo Island,Alexandrina (DC),40220,PHN402,Country SA,-35.50117665,138.77978684,6190819.4,3.0,2.0,5.0,3.0,2.0
McCracken Views Residential Care,"31 Adelaide ROAD, VICTOR HARBOR, SA, 5211",VICTOR HARBOR,SA,5211,402,"Hills, Mallee & Southern",Residential,60,0,0,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Inner Regional Australia,3,41148,Victor Harbor,40701,Fleurieu - Kangaroo Island,Victor Harbor (C),48050,PHN402,Country SA,-35.52993,138.636983,4342358.62,,,,,
ACH Group Residential Care - ViTA,"17 Rockville AVENUE, DAW PARK, SA, 5041",DAW PARK,SA,5041,405,Metropolitan South,Residential,60,0,0,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,41068,Colonel Light Gardens,40303,Mitcham,Mitcham (C),44340,PHN401,Adelaide,-34.98875519,138.59056511,6331869.57,3.0,2.0,5.0,3.0,2.0
Morlancourt,"18 Trafford STREET, ANGLE PARK, SA, 5010",ANGLE PARK,SA,5010,406,Metropolitan West,Residential,61,0,0,RSL Care South Australia Incorporated,Community Based,Major Cities of Australia,1,41102,The Parks,40402,Port Adelaide - West,Port Adelaide Enfield (C),45890,PHN401,Adelaide,-34.86110989,138.5573845,6566885.01,4.0,3.0,5.0,3.0,4.0
Edenfield Family Care - Ramsay,"77 Seaview ROAD, PORT AUGUSTA, SA, 5700",PORT AUGUSTA,SA,5700,410,Flinders & Far North,Residential,62,0,0,El-Jasbella Ramsay Pty Ltd,Private Incorporated Body,Outer Regional Australia,4,41142,Port Augusta,40602,Outback - North and East,Port Augusta (C),46090,PHN402,Country SA,-32.4996651,137.78111763,5870380.23,3.0,3.0,4.0,3.0,4.0
Bolton Clarke Little Para,"24-28 Wayford STREET, ELIZABETH VALE, SA, 5112",ELIZABETH VALE,SA,5112,404,Metropolitan North,Residential,62,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,41030,Elizabeth,40202,Playford,Salisbury (C),47140,PHN401,Adelaide,-34.75580515,138.65742627,7155673.08,3.0,3.0,3.0,3.0,3.0
Clayton Church Homes - Prospect,"156 Main ROAD, PROSPECT, SA, 5082",PROSPECT,SA,5082,403,Metropolitan East,Residential,63,0,0,Clayton Church Homes Inc,Religious,Major Cities of Australia,1,41021,Prospect,40106,Prospect - Walkerville,Prospect (C),46510,PHN401,Adelaide,-34.88543081,138.60234761,6660483.23,,,,,
ACH Group Residential Care - Yankalilla Centre,"175 Main ROAD, YANKALILLA, SA, 5203",YANKALILLA,SA,5203,402,"Hills, Mallee & Southern",Residential,63,0,0,Aged Care & Housing Group Inc,Charitable,Inner Regional Australia,5,41149,Yankalilla,40701,Fleurieu - Kangaroo Island,Yankalilla (DC),48750,PHN402,Country SA,-35.4551246,138.3347484,5494762.85,,,,,
Calvary The Homestead,"29 Homestead AVENUE, WALKLEY HEIGHTS, SA, 5098",WALKLEY HEIGHTS,SA,5098,404,Metropolitan North,Residential,63,0,0,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41040,Ingle Farm,40204,Salisbury,Salisbury (C),47140,PHN401,Adelaide,-34.83664051,138.63916695,6678453.68,3.0,2.0,5.0,3.0,3.0
Eldercare Trowbridge House,"9 LUHRS ROAD, PAYNEHAM SOUTH, SA, 5070",PAYNEHAM SOUTH,SA,5070,403,Metropolitan East,Residential,64,0,0,Eldercare Australia Ltd,Charitable,Major Cities of Australia,1,41018,Payneham - Felixstow,40105,Norwood - Payneham - St Peters,Norwood Payneham St Peters (C),45290,PHN401,Adelaide,-34.90426015,138.64122233,6727195.63,4.0,3.0,5.0,4.0,4.0
Torrens Valley Aged Care,"2 ALBERT STREET, GUMERACHA, SA, 5233",GUMERACHA,SA,5233,402,"Hills, Mallee & Southern",Residential,64,0,0,Barossa Hills Fleurieu Local Health Network Incorporated,State Government,Inner Regional Australia,2,41003,Adelaide Hills,40102,Adelaide Hills,Adelaide Hills (DC),40120,PHN402,Country SA,-34.82450619,138.88383684,5912465.74,4.0,3.0,3.0,5.0,4.0
St Joseph's House,"22 Norman STREET, PORT PIRIE, SA, 5540",PORT PIRIE,SA,5540,407,Mid North,Residential,67,0,0,The Catholic Diocese of Port Pirie Inc,Religious,Outer Regional Australia,4,41122,Port Pirie,40503,Mid North,Port Pirie City and Dists (M),46450,PHN402,Country SA,-33.17921939,138.0093801,5440224.52,4.0,4.0,4.0,2.0,5.0
Bupa Enfield,"5 Bradford COURT, ENFIELD, SA, 5085",ENFIELD,SA,5085,404,Metropolitan North,Residential,68,0,0,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41036,Enfield - Blair Athol,40203,Port Adelaide - East,Port Adelaide Enfield (C),45890,PHN401,Adelaide,-34.87089069,138.60707212,7295718.97,3.0,3.0,5.0,3.0,2.0
Boandik St Mary's,"71 Boandik TERRACE, MOUNT GAMBIER, SA, 5290",MOUNT GAMBIER,SA,5290,409,South East,Residential,68,0,0,Boandik Lodge Inc,Community Based,Inner Regional Australia,3,41173,Mount Gambier - East,40702,Limestone Coast,Mount Gambier (C),44620,PHN402,Country SA,-37.83650909,140.78826449,6548895.65,3.0,3.0,4.0,2.0,3.0
